accuracy while poisoned,Accuracy after heal,noofchanged,poisoned_to_neg,poisoned_to_pos,healed to -ve,healed to +ve,changednegtopos,changedpostoneg
0.9959037378392217,0.9951356886840758,0,0,0,27,5,5,27
0.994026284348865,0.9937702679638164,936,468,468,476,470,479,485
0.9930022188086705,0.9944529783239461,1872,936,936,938,992,1009,955
0.9910394265232975,0.9939409455538488,2808,1404,1404,1365,1469,1494,1390
0.9918928144734597,0.9942823007339137,3744,1872,1872,1801,1910,1953,1844
0.9910394265232975,0.9937702679638164,4680,2340,2340,2256,2384,2428,2300
0.9903567161631678,0.9937702679638164,5616,2808,2808,2733,2853,2902,2782
0.9909540877282813,0.9931728963987029,6552,3276,3276,3215,3319,3364,3260
0.9911247653183137,0.993258235193719,7488,3744,3744,3722,3795,3835,3762
0.9912954429083461,0.9931728963987029,8424,4212,4212,4186,4278,4315,4223
0.990868748933265,0.9926608636286056,9360,4680,4680,4712,4742,4766,4736
0.9913807817033623,0.9929168800136542,10296,5148,5148,5194,5225,5219,5188
0.9901006997781191,0.9906127325482165,11232,5616,5616,5631,5802,5799,5628
0.9900153609831029,0.9905273937532002,12168,6084,6084,6131,6225,6212,6118
0.9900153609831029,0.9919781532684758,13104,6552,6552,6597,6643,6645,6599
0.9898446833930705,0.9919781532684758,14040,7020,7020,7073,7091,7098,7080
0.9900153609831029,0.9929168800136542,14976,7488,7488,7554,7511,7516,7559
0.9897593445980543,0.9926608636286056,15912,7956,7956,8033,7959,7937,8011
0.9899300221880867,0.9926608636286056,16848,8424,8424,8516,8401,8382,8497
0.9882232462877624,0.9930875576036866,17784,8892,8892,8981,8862,8842,8961
0.9877112135176651,0.9910394265232975,18720,9360,9360,9502,9276,9255,9481
0.9894179894179894,0.987284519542584,19656,9828,9828,10059,9675,9628,10012
0.9871138419525516,0.9901006997781191,20592,10296,10296,10486,10162,10141,10465
0.9836149513568868,0.9885646014678273,21528,10764,10764,10951,10589,10596,10958
0.9819935142515788,0.9581839904420549,22464,11232,11232,12136,10349,10406,12193
0.46680320873869263,0.5460829493087558,23400,11700,11700,20162,3151,3220,20231
0.05606758832565284,0.13440860215053763,24336,11700,11700,14082,8583,8919,14418
0.013654207202594299,0.08781362007168458,25272,11700,11700,12891,8979,9702,13614
0.009557945041816009,0.0789383853899983,26208,11700,11700,12167,8831,9993,13329
0.009813961426864653,0.06989247311827956,27144,11700,11700,11501,8630,10238,13109
0.009643283836832224,0.06076122205154463,28080,11700,11700,10865,8415,10456,12906
0.010667349377026797,0.05444615122034477,29016,11700,11700,10312,8090,10568,12790
0.010069977811913296,0.03311145246629118,29952,11700,11700,9360,7991,11006,12375
0.009813961426864653,0.0285031575354156,30888,11700,11700,8724,7696,11190,12218
0.00972862263184844,0.027052398020139954,31824,11700,11700,8203,7289,11241,12155
0.009557945041816009,0.020139955623826592,32760,11700,11700,7561,6931,11387,12017
0.009472606246799796,0.010069977811913296,33696,11700,11700,6854,6571,11570,11853
0.008363201911589008,0.009813961426864653,34632,11700,11700,6313,6171,11640,11782
0.008363201911589008,0.008021846731524151,35568,11700,11700,5783,5738,11686,11731
0.008704557091653867,0.007253797576378221,36504,11700,11700,5317,5235,11654,11736
