accuracy while poisoned,Accuracy after heal,no changed,+ve to -ve,-ve to +ve,healed to -ve,healed to +ve,c value
0.9951356886840758,0.9945383171189622,0,0,83,0,83,0.8269466902682825
0.9907834101382489,0.9931728963987029,468,9,113,0,489,0.8085187314237225
0.9890766342379246,0.9929168800136542,936,23,103,0,933,0.803196079139225
0.9893326506229732,0.9925755248335894,1404,23,128,0,1426,0.8077078071723583
0.9901006997781191,0.9934289127837514,1872,33,92,0,1848,0.8109665893564657
0.9914661204983786,0.9921488308585082,2340,32,121,0,2346,0.8025604479594179
0.9890766342379246,0.9921488308585082,2808,49,93,0,2769,0.7935682499588737
0.9889059566478922,0.9926608636286056,3276,57,91,0,3227,0.806841032885276
0.9894179894179894,0.9926608636286056,3744,62,83,0,3682,0.79969971067661
0.9899300221880867,0.9924901860385731,4212,54,102,0,4177,0.8064925842133327
0.9888206178528759,0.990868748933265,4680,76,83,0,4604,0.7759441689964551
0.986857825567503,0.9922341696535245,5148,81,92,0,5076,0.7965697173027922
0.98805256869773,0.9895886670080218,5616,76,103,0,5560,0.7787247200181978
0.987625874722649,0.9923195084485407,6084,74,98,0,6025,0.8043227891822253
0.985236388462195,0.9906980713432326,6552,99,88,0,6458,0.7818259643579228
0.9819935142515788,0.9924048472435569,7020,101,86,0,6922,0.795857614585951
0.9805427547363031,0.992831541218638,7488,107,93,0,7391,0.7945271370667508
0.9761904761904762,0.9925755248335894,7956,110,88,0,7851,0.8081707986099516
0.9716675200546169,0.9918928144734597,8424,124,91,0,8308,0.8011382288180413
0.9649257552483359,0.9898446833930705,8892,115,92,0,8786,0.7792539243851861
0.9458098651647039,0.9913807817033623,9360,145,91,0,9223,0.8039852968752714
0.9313876088069637,0.9907834101382489,9828,126,91,0,9710,0.7986068586034561
0.8918757467144564,0.9909540877282813,10296,136,91,0,10168,0.7931109340486309
0.8369175627240143,0.990868748933265,10764,128,92,0,10645,0.7939126450220465
0.8000512032770097,0.9910394265232975,11232,145,91,0,11095,0.8017880889010216
0.7380952380952381,0.9913807817033623,11700,148,92,0,11561,0.8091026521662429
0.6426864652671104,0.9909540877282813,12168,140,92,0,12037,0.7966259923938439
0.6153780508619219,0.9924048472435569,12636,111,98,0,12540,0.8047807798703881
0.5661375661375662,0.9904420549581839,13104,166,92,0,12947,0.7897958224252306
0.5451442225635774,0.9919781532684758,13572,136,94,0,13447,0.8207326913132443
0.5177504693633725,0.9920634920634921,14040,173,94,0,13878,0.8246857240774828
0.5148489503328213,0.9914661204983786,14508,153,99,0,14371,0.8412787322824398
0.5180064857484212,0.9924048472435569,14976,138,132,0,14887,0.8088995037143712
0.5052056664959891,0.9931728963987029,15444,152,100,0,15309,0.8544688558408091
0.5032428742106162,0.9925755248335894,15912,135,105,0,15799,0.8320460438718261
0.5018774534903567,0.9918074756784434,16380,173,116,0,16240,0.8296540449186236
0.5009387267451784,0.9924901860385731,16848,150,133,0,16748,0.8132793573113235
0.5005120327700973,0.9914661204983786,17316,173,115,0,17175,0.8437964691127284
0.5002560163850487,0.9906127325482165,17784,162,122,0,17661,0.8244652205610484
0.5003413551800648,0.9901860385731354,18252,151,261,0,18279,0.8553875431908348
