accuracy while poisoned,Accuracy after heal,no changed,+ve to -ve,-ve to +ve,healed to -ve,healed to +ve
0.9921488308585082,0.9909540877282813,0,0,271,0,195
0.9901860385731354,0.9901860385731354,468,1,340,0,10
0.9901860385731354,0.9901860385731354,936,1,340,0,12
0.9902713773681515,0.9901860385731354,1404,1,340,0,16
0.989247311827957,0.9898446833930705,1872,3,386,0,81
0.9894179894179894,0.9898446833930705,2340,3,377,0,98
0.9894179894179894,0.9898446833930705,2808,4,374,0,193
0.9898446833930705,0.9901860385731354,3276,8,335,0,296
0.9896740058030381,0.9900153609831029,3744,8,343,0,183
0.9903567161631678,0.9901860385731354,4212,8,334,0,675
0.9905273937532002,0.9911247653183137,4680,24,334,0,247
0.9893326506229732,0.9909540877282813,5148,31,339,0,250
0.9898446833930705,0.9909540877282813,5616,38,335,0,711
0.9903567161631678,0.9907834101382489,6084,44,334,0,729
0.9904420549581839,0.990868748933265,6552,42,334,0,681
0.9901006997781191,0.990868748933265,7020,44,334,0,430
0.9894179894179894,0.9907834101382489,7488,50,338,0,466
0.9901860385731354,0.9907834101382489,7956,54,334,0,625
0.9900153609831029,0.990868748933265,8424,52,334,0,855
0.9895886670080218,0.9907834101382489,8892,54,334,0,835
0.9869431643625192,0.9896740058030381,9360,71,339,0,930
0.9871991807475679,0.9896740058030381,9828,66,336,0,924
0.987284519542584,0.9893326506229732,10296,65,339,0,1275
0.9871991807475679,0.9896740058030381,10764,76,335,0,1048
0.9870285031575354,0.9893326506229732,11232,70,339,0,1370
