accuracy while poisoned,Accuracy after heal,no changed,+ve to -ve,-ve to +ve,healed to -ve,healed to +ve,c value
0.9998293224099676,0.9997439836149513,0,0,0,0,0,0.9757270639151137
0.9998293224099676,0.9998293224099676,468,103,0,0,365,0.9624566667132775
0.9998293224099676,0.9998293224099676,936,120,0,0,816,0.957092483952835
0.9996586448199352,0.9998293224099676,1404,162,0,0,1242,0.9486681343563882
0.9994879672299027,0.9994879672299027,1872,216,0,0,1656,0.9344824310545767
0.9996586448199352,0.9996586448199352,2340,246,0,0,2094,0.9317828588130105
0.9994026284348865,0.9994879672299027,2808,244,0,0,2564,0.9302374513868839
0.9993172896398703,0.9993172896398703,3276,289,0,0,2987,0.9183070622928656
0.9993172896398703,0.9994879672299027,3744,372,0,0,3372,0.9058790246810179
0.9994879672299027,0.999231950844854,4212,347,0,0,3865,0.9087032842024848
0.9994026284348865,0.999231950844854,4680,382,0,0,4298,0.8984851908602487
0.9991466120498379,0.9993172896398703,5148,421,0,0,4727,0.8933008553107392
0.9991466120498379,0.9988905956647892,5616,392,0,0,5224,0.8952093348624652
0.998805256869773,0.9985492404847244,6084,392,0,0,5692,0.8975002532937011
0.9988905956647892,0.9984639016897081,6552,373,0,0,6179,0.899825279275037
0.9982078853046595,0.9979518689196109,7020,364,0,0,6656,0.8988985149131561
0.9981225465096433,0.9979518689196109,7488,400,0,0,7088,0.8941125580150258
0.9980372077146271,0.9976958525345622,7956,387,0,0,7569,0.8913222761460289
0.9975251749445297,0.9975251749445297,8424,326,0,0,8098,0.9076495464167734
0.9963304318143028,0.9963304318143028,8892,362,0,0,8530,0.8964560526182022
0.9963304318143028,0.9968424645844001,9360,310,1,0,9051,0.9112634447796547
0.9935995903737839,0.9955623826591569,9828,317,1,0,9512,0.9076097315707967
0.9906980713432326,0.9962450930192865,10296,275,1,0,10022,0.9146891595451329
0.9851510496671787,0.9965011094043352,10764,250,1,0,10515,0.9226662614782493
0.9688513398190818,0.9968424645844001,11232,207,1,0,11026,0.9337358637464664
0.6938897422768391,0.9968424645844001,11700,174,1,0,11527,0.9368751823729653
0.5439494794333504,0.9966717869943676,12168,173,1,0,11996,0.9405449691677105
0.5144222563577402,0.9974398361495136,12636,162,2,0,12476,0.9443585607774168
0.5092165898617511,0.9969278033794163,13104,154,1,0,12951,0.943155299609214
0.5074244751664106,0.9968424645844001,13572,147,2,0,13427,0.9473420680479211
0.5046936337258918,0.9971838197644649,14040,114,3,0,13929,0.9507533369471464
0.5026455026455027,0.9965864481993514,14508,126,3,0,14385,0.9460033742849242
0.5025601638504864,0.9974398361495136,14976,105,3,0,14874,0.9531564658715647
0.5017921146953405,0.9974398361495136,15444,94,5,0,15355,0.9519671193281025
0.5013654207202595,0.9975251749445297,15912,96,10,0,15826,0.9531282314820831
0.5014507595152756,0.9974398361495136,16380,83,14,0,16311,0.9570726986945871
0.5008533879501621,0.9977811913295784,16848,68,17,0,16797,0.9612822116830363
0.500768049155146,0.9982932240996757,17316,56,18,0,17278,0.9623490281784847
0.5008533879501621,0.9989759344598055,17784,19,19,0,17784,0.9684323929639121
0.5008533879501621,0.9994879672299027,18252,6,23,0,18269,0.972928827769832
