accuracy while poisoned,Accuracy after heal,no changed,+ve to -ve,-ve to +ve,healed to -ve,healed to +ve,c value
0.9837856289469192,0.9833589349718382,0,0,403,0,403,0.7877373696779354
0.9834442737668544,0.9831882573818058,468,7,481,0,539,0.7955993473031496
0.9833589349718382,0.9830175797917733,936,16,443,0,960,0.7945215915961404
0.9831029185867896,0.9829322409967571,1404,23,403,0,1381,0.7934946772268437
0.9827615634067247,0.9831029185867896,1872,24,403,0,1848,0.7942581828328092
0.9824202082266599,0.9831029185867896,2340,28,403,0,2312,0.7971949259283938
0.982505547021676,0.9827615634067247,2808,36,403,0,2772,0.7988420444608548
0.9822495306366275,0.9828469022017409,3276,40,403,0,3236,0.7995390622521976
0.9819081754565625,0.9827615634067247,3744,43,403,0,3701,0.7992413854235378
0.9816521590715139,0.9827615634067247,4212,46,403,0,4166,0.7994466298402647
0.9814814814814815,0.9826762246117084,4680,55,403,0,4625,0.7993165937422211
0.9816521590715139,0.9826762246117084,5148,63,403,0,5085,0.8018996301698363
0.9816521590715139,0.9825908858166923,5616,67,403,0,5549,0.8025254130905886
0.9813108038914491,0.9825908858166923,6084,69,403,0,6015,0.801116612744184
0.9810547875064004,0.982505547021676,6552,78,403,0,6474,0.8028303008337716
0.9809694487113841,0.982505547021676,7020,85,403,0,6935,0.802641605124599
0.980884109916368,0.982505547021676,7488,94,404,0,7395,0.8018421994310665
0.980884109916368,0.9822495306366275,7956,139,405,0,7819,0.7959528394820385
0.9809694487113841,0.9822495306366275,8424,151,405,0,8275,0.7973213901078375
0.980884109916368,0.9822495306366275,8892,133,405,0,8761,0.7987394073312519
0.9809694487113841,0.9821641918416112,9360,134,412,0,9235,0.7991989985260126
0.9811401263014167,0.9822495306366275,9828,119,458,0,9764,0.8052224742096539
0.980884109916368,0.982078853046595,10296,135,485,0,10243,0.8075895552564504
0.9813961426864652,0.9819935142515788,10764,135,507,0,10733,0.8103757848474378
0.9766171701655573,0.9819935142515788,11232,122,581,0,11288,0.8189438731155705
